ID,Title,Author,Date,Genre,Form,Nb of tokens (c.)
rosimond-festin-de-pierre,Le Nouveau Festin de Pierre ou L'Athée Foudroyé,61568872,1670,tragicomedy,verse,15534
imbert-poinsinet-moliere,Poinsinet et Molière,66524430,1772,dialogue,verse,2217
cros-hareng-saur,Le Hareng Saur,121229320,1881,monologue,verse,263
feydeau-complainte-du-pauv-prorietaire,Complainte du pauv' Propriétaire,121184695,1916,monologue,verse,704
gonnet-lisette,Lisette ou La Mauvaise Compagne,459540933,1858,dialogue,verse,1610
pg-a-la-monaco,A la Monaco,,1889,proverbe,verse,4240
voltaire-mort-de-cesar,La Mort de César,121280652,1736,tragedy,verse,11663
du-ryer-lisandre-caliste,Lisandre et Caliste,110211360,1632,tragicomedy,verse,17308
dorimond-ecole-des-cocus,L'Ecole des Cocus,110644844,1661,comedy,mixte,4754
diderot-paradoxe-comedien,Paradoxe sur le Comédien,000000012133370X,1830,dialogue,prose,22942
aigueberre-polixene,Polixène,61310011,1729,tragedy,verse,4002
dufresny-malade-sans-maladie,La Malade sans Maladie,140935001,1699,comedy,prose,13586
marivaux-jeu-de-l-amour-et-du-hasard,Le Jeu de l'Amour et du Hasard,121458289,1730,comedy,prose,15645
fenelon-alexandre,Alexandre,,1754,tragedy,verse,12573
biancollelli-romagnesi-bonne-femme,La Bonne Femme,000000007975178X,1738,,mixte,3508
carmontelle-sortie-de-la-comedie,Sortie de la Comédie Française,79771756,1771,proverbe,prose,1835
boissy-dehors-trompeurs,Les Dehors Trompeurs,80772860,1740,comedy,verse,19021
cubieres-palmezeaux-fete-seculaire-corneille,La Fête Séculaire de Corneille,000000008135744X,1785,,verse,4331
sacy-repetition,La Répétition,83390649,1778,dialogue,prose,3072
roy-compliment-7-avril-1750,"Compliment pour l'Ouverture du Théâtre Italien, le 7 Avril 1750.",81007239,1750,,verse,1165
la-thuilerie-soliman,Soliman,000000004599568X,1681,tragedy,verse,12676
becque-enlevement,L'Enlèvement Comédie en Trois Actes,110421907,1924,comedy,prose,12638
genlis-veuve-de-sarepte,La Veuve de Sarepta ou L'Hospitalité Récompensée,121386051,1829,comedy,prose,2793
voltaire-nanine,Nanine,121280652,1749,comedy,verse,14191
moliere-jalousie-du-barbouille,La Jalousie du Barbouillé,123197131,1650,farce,prose,4582
campan-deux-educations,Les Deux Educations,000000012142955X,1832,proverbe,prose,3747
du-ryer-dynamis,Dynamis,110211360,1653,tragicomedy,verse,17587
dorneval-fuzelier-lesage-arlequin-roi-des-ogres,Arlequin Roi des Ogres,0000000121298262 0000000083620416 0000000121258113,1720,comedy,prose,4754
corneillep-sertorius,Sertorius,121296128,1662,tragedy,verse,18886
pradel-trait-de-moliere,Un Trait de Molière,79910269,1821,,verse,3213
pg-amour,L'Amour et l'Amour Propre,,1889,comedy,verse,10464
dancourt-enfants-de-paris,Les Enfants de Paris,110220873,1699,comedy,verse,18163
carmontelle-officier-du-gobelet,L'Officier du Gobelet,79771756,1771,proverbe,prose,3048
courteline-ferme-ta-malle,Ferme ta Malle !,121452784,1904,saynete,mixte,860
garniert-passe-dix,Le Passe-Dix ou Le Mauvais Exemple,83709277,1785,proverbe,prose,2962
feydeau-monsieur-qui-est-condamne,Un Monsieur qui Est Condamné à Mort,121184695,1899,drama,prose,1998
dancourt-vendanges,Les Vendanges,110220873,1694,comedy,mixte,6086
crebillon-electre,Electre,121031197,1709,tragedy,verse,16323
joly-moliere,Molière,366138638,1863,,verse,2101
rousseau-muses-galantes,Les Muses Galantes,121451116,1743,,verse,4692
quinault-les-rivales,Les Rivales,120962483,1661,comedy,verse,15920
anonyme-club-des-dames,Le Club des Dames ou Le Retour de Descartes,,1784,comedy,prose,7060
andrieux-anaximandre,"Anaximandre, Comédie.",000000008081539X,1805,comedy,verse,5867
scribe-ministre-sous-louis-xv,Un Ministre sous Louis Xv,000000012122970X,1861,,mixte,8484
boissy-auteur-supersticieux,L'Auteur Superstitieux,80772860,1732,comedy,verse,3235
boissy-plagiaire,Le Plagiaire,80772860,1746,comedy,verse,9912
musset-carmosine,Carmosine,121334059,1852,comedy,prose,19792
hervilly-soupe,Entre la Soupe et les Lèvres,000000010927249X,1878,monologue,verse,1836
ronsin-ligues-des-fanatiques,La Ligue des Fanatiques et des Tyrans,81278338,1792,tragedy,verse,9473
baro-clorise,La Clorise,104224042,1634,tragicomedy,verse,16733
mareschala-veritable-capitaine-matamore,Le Véritable Capitan Matamore ou Le Fanfaron,371567007,1640,comedy,verse,21039
carmontelle-poulet,Le Poulet,79771756,1771,proverbe,prose,1554
dancourt-agioteurs,Les Agioteurs,110220873,1710,comedy,prose,18159
du-ryer-scevole,Scévole,110211360,1647,tragedy,verse,15324
barre-redet-desfontaines-marige-de-scarron,Le Mariage de Scarron,0000000083938993 0000000108893665 0000000120987728,1797,vaudeville,mixte,9489
musset-nuit-venitienne,La Nuit Vénitienne,121334059,1840,comedy,prose,6861
moissy-version,La Version les Jeux de la Petite Thalie.,83521936,1769,proverbe,prose,2786
bernardt-mystere,"Un Mystère sans Importance, Comédie",121371490,1930,comedy,prose,2621
dumaniant-belle-esclave,La Belle Esclave,80936618,1787,comedy,mixte,4761
bievre-seducteur,Le Séducteur,460030690,1783,comedy,verse,20821
romagnesi-riccoboni-sauvages,Les Sauvages,121193196,1736,,verse,6527
desfontaines-perside,Perside,79800158,1644,tragedy,verse,15468
carmontelle-avocat-consultant,L'Avocat Consultant.,79771756,1771,proverbe,prose,1075
corneillet-mort-annibal,La Mort d'Annibal,000000012281648X,1669,tragedy,verse,16747
quinault-bellerophon,Bellérophon,120962483,1715,tragedy,verse,13271
grandval-luxurieux,Le Luxurieux,79725944,1756,comedy,verse,3791
gueullette-amant-poussif,L'Amant Poussif,122783489,1756,farce,prose,4562
gueullette-parade-1,"Première Parade, Farce.",122783489,1714,farce,prose,11492
harny-petit-maitre-province,Le Petit-Maître en Province,122812999,1765,comedy,verse,6070
dufresny-depart-des-comediens,Le Départ des Comédiens,140935001,1694,comedy,mixte,3752
moliere-facheux,Les Fâcheux,123197131,1662,,verse,10523
fatouville-arlequin-empereur-dans-la-lune,"Arlequin Empereur dans la Lune, Comédie",166546,1725,comedy,prose,11302
quinault-alceste,Alceste ou Le Triomphe d'Alcide,0000000120962483 0000000120991997,1739,opera,verse,9683
voltaire-mariamne,Mariamne,121280652,1724,tragedy,verse,17091
dancourt-colin-maillard,Colin-Maillard.,110220873,1701,comedy,prose,11619
saint-gilles-fievre-palmerin,La Fièvre de Palmerin,,1709,,verse,1545
hervilly-laitiere,La Laitière et le Pot aux Roses,000000010927249X,1882,comedy,prose,5882
sacy-vanite,La Vanité Mortifiée,83390649,1778,,prose,3030
campistron-acis-galathee,Acis et Galatée,118280635,1686,,verse,5063
guimont-de-la-touche-iphigenie,Iphigénie en Tauride,,1778,tragedy,verse,12153
fontenelle-endymion,Endymion,,1731,,verse,6459
folard-themistocle,Thémistocle,,1729,tragedy,verse,19334
anonyme-pardonneur,Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,,,farce,verse,2369
fuzelier-legrand-animaux-raisonnables,Les Animaux Raisonnables,0000000083620416 0000000122798349,1718,,mixte,3541
corneillet-laodice,"Laodice, Reine de Cappadoce",000000012281648X,1668,tragedy,verse,15730
donneau-de-vise-veuve-a-la-mode,La Veuve à la Mode,108664651,1668,comedy,verse,5976
anomyme-dialogue-de-la-prude-et-de-la-coquette,Dialogue de la Prude et de la Coquette,,1659,dialogue,prose,6041
pradon-statira,Statira,63096,1680,tragedy,verse,14050
gilbert-telephonte,Téléphonte,116617599,1662,tragicomedy,verse,14015
brueys-palaprat-avocat-patelin,L'Avocat Patelin,108763852,1706,comedy,prose,9227
quinault-genereuse-ingratitude,La Généreuse Ingratitude,120962483,1656,tragicomedy,verse,15941
magnon-jeanne-de-naples,Jeanne de Naples,78207483,1656,tragedy,verse,15521
joliet-moliere,Molière,108819991,1879,monologue,verse,597
quinault-proserpine,Proserpine,120962483,1680,tragedy,verse,9132
dancourt-amants,"Nouveau Prologue, et Nouveaux Divertissements",110220873,1704,comedy,verse,3965
jodelle-cleopatre,Cléopâtre Captive,110443268,1574,tragedy,verse,10380
moissy-duel,Le Duel,83521936,1769,proverbe,prose,4131
aigueberre-avare-amoureux,L'Avare Amoureux,61310011,1781,comedy,prose,6222
la-croix-guerre-comique,La Guerre Comique,,1664,comedy,verse,11109
du-ryer-vendanges-de-suresnes,Les Vendanges de Suresnes,110211360,1636,comedy,verse,16716
voltaire-femme-qui-a-raison,La Femme qui A Raison,121280652,1759,comedy,verse,8983
pure-deroute-des-precieuses,La Déroute des Précieuses,,1659,,verse,1135
la-fontaine-climene,Climène,79848856,1671,comedy,verse,6820
durant-a-bon-chat-bon-rat,A Bon Chat Bon Rat,123478574,1699,proverbe,prose,1578
lantier-impatient,L'Impatient,,1779,comedy,verse,6523
jodelle-eugene,L'Eugène,110443268,1574,comedy,verse,11958
donneau-de-vise-mere-coquette,La Mère Coquette,108664651,1666,comedy,verse,11268
la-motte-amadis,Amadis de Grèce,000000012124458X,1752,tragedy,verse,6384
liborliere-cloison,"La Cloison, Beaucoup de Peine pour Rien",50585263,1803,comedy,prose,8328
anonyme-vierges-folles-vierges-sages,Les Vierges Sages et les Vierges Folles,,1834,,mixte,1667
regnard-legataire-critique,"La Critique du Légataire, Comédie en un Acte",000000012118509X,1708,comedy,prose,5146
jaquelin-soliman,Soliman,000000012122970X,1653,tragedy,verse,17386
boisrobert-cassandre,Cassandre,121259263,1654,tragicomedy,prose,16547
magnon-mariage-oroondate,Le Mariage d'Oroondate et de Statira,78207483,1648,tragicomedy,verse,16993
la-motte-machabees,Les Machabées,000000012124458X,1722,tragedy,verse,12626
bilhaud-premier-amour,Premier Amour,83815985,1881,monologue,verse,1238
racine-thebaide,La Thébaïde,123212338,1697,tragedy,verse,14152
fournier-racine-a-uzes,Racine à Uzès,118721744,1865,comedy,verse,21083
hervieux-paul-et-pauline,Paul et Pauline,0000000121200982 0000 0001 2120 0982,1867,,verse,6062
corneillep-heraclius,"Héraclius, Empereur d'Orient",121296128,1647,tragedy,verse,20770
boissy-medecin-par-occasion,Le Médecin par Occasion,80772860,1745,comedy,verse,15252
dancourt-impromptu-suresnes,L'Impromptu de Suresnes,110220873,1713,,mixte,9198
lemercier-bavardes,Les Bavardes,,1889,dialogue,prose,2056
sacy-harangue,La Harangue,83390649,1778,,prose,3137
colle-cocatrix,"Cocatrix, Tragédie Amphigourique.",121258527,1777,comedy,verse,5471
regnard-homme-bonne-fortune-critique,"La Critique de l'Homme à Bonnes Fortunes, Comédie.",000000012118509X,1690,comedy,prose,3669
du-ryer-lucrece,Lucrèce,110211360,1638,tragedy,verse,13419
marchadier-plaisir,Le Plaisir,,1749,comedy,verse,4496
moissy-revenants,Les Revenants.,83521936,1769,proverbe,prose,4637
renard-plaisir-de-rompre,Le Plaisir de Rompre,0000000041010695 0000000121208319,1904,comedy,prose,5453
la-fontaine-ragotin,Ragotin ou Le Roman Comique,79848856,1684,comedy,verse,15369
courteline-gros-chagrins,Gros Chagrins,121452784,1929,comedy,prose,1661
henault-temple-des-chimeres,Le Temple des Chimères,121173507,1806,,verse,1475
gilbert-semiramis,Sémiramis,116617599,1647,tragedy,verse,15933
sacy-meprise,La Méprise,83390649,1778,,prose,2585
voltaire-cafe,L'Ecossaise,121280652,1766,comedy,prose,21793
anonyme-matinee-comedien-francais,La Matinée du Comédien Français,,1785,proverbe,prose,6022
marivaux-prince-travesti,Le Prince Travesti,121458289,1727,comedy,prose,21543
saint-gilles-feinte-heureuse,La Feinte Heureuse,,1709,,verse,605
dorvo-lamentin,Monsieur Lamentin,80792183,1808,comedy,verse,7384
voltaire-charlot,Charlot ou La Comtesse de Givry.,121280652,1767,,verse,8725
maintenon-conversations,Conversations de Madame la Marquise de Maintenon,109273521,1823,,prose,37092
dancourt-metempsychose,La Métempsycose,110220873,1718,comedy,verse,15586
dancourt-impromptu-de-livry,L'Impromptu de Livry,110220873,1705,,mixte,1535
legouve-ma-fille-et-mon-bien,Ma Fille et mon Bien,121335799,1876,comedy,prose,8413
ancelot-arago-papillotes,Les Papilllotes,0000000110631090 0000000080963691,1834,comedy,mixte,9407
sacy-retour-distrait,Le Retour du Distrait,83390649,1778,,prose,2473
trimouillat-a-trois-pas,A Trois pas,62117416,1886,monologue,verse,562
poisson-amour-secret,L'Amour Secret,63095896,1722,comedy,verse,7021
gueullette-parade-2,"Deuxième Parade, Farce.",122783489,1715,farce,prose,10427
anonyme-resurrection-jenin-landore,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,,,farce,verse,1939
scudery-vassal-genereux,Le Vassal Généreux,121441372,1636,tragicomedy,verse,14237
moliere-dom-juan,Don Juan ou Le Festin de Pierre,123197131,1682,comedy,prose,19041
caylus-appareilleuse,L'Appareilleuse,,1738,comedy,prose,4899
corneillep-othon,Othon,121296128,1665,tragedy,verse,16621
garniert-soeurs-de-lait,Les Soeurs de Lait,83709277,1785,proverbe,prose,2878
anonyme-deroute-des-precieuses,La Déroute des Précieuses,,1659,,verse,1154
sacy-noblesse,La Noblesse,83390649,1778,,prose,875
benserade-mort-achille,La Mort d'Achille et la Dispute de ses Armes,80815445,1636,tragedy,verse,16677
riccoboni-romagnesi-compliments,Les Compliments,121193196,1736,,mixte,2475
dufresny-regnard-naissance-d-amadis,"La Naissance d'Amadis, Comédie en un Acte",,1694,comedy,mixte,3452
beaumarchais-autre-tartuffe,L'Autre Tartuffe,108829874,1792,drama,prose,20659
genlis-flacons,Les Flacons,121386051,1829,comedy,prose,2911
marivaux-fausses-confidences,Les Fausses Confidences,121458289,1738,comedy,prose,20162
joly-adrienne-lecouvreur,Adrienne Legouvreur,366138638,1863,,verse,1876
voltaire-envieux,L'Envieux,121280652,1738,comedy,verse,10551
courteline-pantheon-courcelles,Panthéon - Courcelles,121452784,1894,saynete,prose,1558
le-boulanger-chalussay-elomire-hypocondre,Elomire Hypocondre,,1670,comedy,verse,20664
gueullette-chapeau-de-fortunatus,Le Chapeau de Fortunatus,122783489,1712,farce,prose,4494
genlis-mere-rivale,"La Mère Rivale, Comédie",121386051,1811,comedy,prose,19516
musset-caprice,Un Caprice,121334059,1889,comedy,prose,9566
carmontelle-deux-amis,Les Deux Amis,79771756,1771,proverbe,prose,865
moliere-medecin-volant,Le Médecin Volant,123197131,1682,farce,prose,4582
lagrange-chancel-meleagre,Méléagre,000000012119739X,1699,tragedy,verse,14505
regnard-filles-errantes,"Les Filles Errantes, ou Les Intrigues des Hôtelleries.",000000012118509X,1690,comedy,prose,8914
bertol-graivil-a-la-mer,A la Mer !,66513213,1883,monologue,prose,1173
feydeau-c-est-une-femme-du-monde,C'est une Femme du Monde,0000000121184695 0000000066412703,1890,comedy,prose,7213
sacy-lois,Les Lois,83390649,1778,dialogue,prose,1664
carmontelle-secondes-loges,"Les Secondes Loges de l'Opéra, le Dimanche.",79771756,1771,proverbe,prose,1734
pechantre-geta,Geta,25348354,1687,tragedy,verse,13950
carmontelle-condamnez-sans-entendre,Condamner sans Entendre. ou La Statue.,79771756,1768,proverbe,prose,3458
rotrou-iphigenie,Iphigénie,122831639,1641,tragicomedy,verse,16990
monselet-bibliotheque,La Bibliothèque,109052286,1859,comedy,prose,12488
voltaire-deux-tonneaux,Les Deux Tonneaux,121280652,1734,,verse,5476
marivaux-sinceres,Les Sincères,121458289,1747,comedy,prose,10427
marivaux-ile-des-esclaves,L'Ile des Esclaves,121458289,1725,comedy,prose,9641
la-harpe-philoctete,Philoctète,122755357,1781,tragedy,verse,16092
musset-augier-habit-vert,L'Habit Vert,121334059,1858,comedy,prose,6380
mercier-habitant-guadeloupe,L'Habitant de la Guadeloupe Comédie en Trois Actes,121280441,1786,drama,prose,15949
deslisle-arlequin-sauvage,"Arlequin Sauvage, Comédie.",109052198,1722,comedy,prose,14593
musset-andre-del-sarto,André Del Sarto,121334059,1851,drama,prose,9823
colle-ile-sonnante,"L'Ile Sonnante, Opéra Comique en Trois Actes.",121258527,1768,,mixte,6537
montgaudier-natalie,Natalie,,1654,tragedy,verse,14714
blemond-moliere-auteuil,Molière en Bonne Fortune,80861601,1897,comedy,verse,7231
la-calprenede-mort-mitrhidate,La Mort de Mitridate,78201751,1637,tragedy,verse,17437
beissier-un-bon-placement,"Un Bon Placement, Comédie",0000 0001 1474 4543,1888,comedy,prose,3745
dufresny-faux-honnete-homme,Le Faux Honnête Homme,140935001,1703,comedy,prose,13674
rotrou-saint-genest,Le Véritable Saint Genest,122831639,1648,tragedy,verse,16190
voltaire-saul,Saül,121280652,1763,drama,prose,8661
chappuzeau-armetzar,Armetzar ou Les Amis Ennemis,80777346,1656,tragicomedy,verse,19756
carmontelle-diamant,Le Diamant,79771756,1771,proverbe,prose,5544
saint-foix-colonie,La Colonie,108847300,1778,comedy,mixte,10145
boursault-satire-des-satires,La Satire des Satires,83429101,1669,comedy,verse,10401
carcassonne-compliment,Le Compliment,0000 0001 1756 1275,1889,comedy,prose,1835
carmontelle-maitre-de-ballets,Le Maître de Ballets,79771756,1771,proverbe,prose,1040
anonyme-prix-d-un-moment,Le Prix d'un Moment,,1772,comedy,mixte,3206
carmontelle-le-bon-mari,Le Bon Mari,79771756,1771,proverbe,prose,2523
feydeau-un-coup-de-tete,Un Coup de Tête,121184695,1882,monologue,verse,967
aubryet-hommage-a-racine,Hommage à Racine vers Dits par Madame Provost-Ponsin au Théâtre Français Représentation du 21 Décembre 1871 232ème Anniversaire de la Naissance de Racine,0000 0000 0063 4768,1872,monologue,verse,925
cheron-homme-a-bonnes-fortunes,L'Homme à Sentiments,81300013,1801,comedy,verse,18792
abeille-argelie,"Argélie, Reine de Thessalie",47469827,1674,tragedy,verse,16539
mareschala-jugement,Le Jugement Equitable de Charles le Hardy Dernier Duc de Bourgogne,371567007,1646,tragedy,verse,16101
cros-affaire-de-la-rue-beaubourg,L'Affaire de la Rue Beaubourg,121229320,1881,comedy,prose,1555
racine-plaideurs,Les Plaideurs,123212338,1697,comedy,verse,9945
corneillet-persee-demetrius,Persée et Démétrius,000000012281648X,1662,tragedy,verse,18073
sacy-benefice,Le Bénéfice ou Le Tour de Page,83390649,1778,,prose,2511
dorimond-comedie-de-la-comedie,La Comédie de la Comédie,110644844,1662,comedy,verse,2954
carriere-doisin-cafe-litteraire,Le Café Littéraire ou La Folie du Jour,,1785,comedy,prose,9067
la-chapelle-zaide,Zaïde,,1681,tragedy,verse,13401
ceillier-cousin-edgar,Le Cousin Edgard,,1882,comedy,prose,6957
corneillep-medee,Médée (1682),121296128,1682,tragedy,verse,16914
des-essarts-illustre-theatre,L'Illustre Théâtre,,1900,comedy,verse,3026
scarron-boutades-matamore,Les Boutades du Capitan Matamore et ses Comédies.,120990126,1647,comedy,verse,16105
imbert-inauguration,L'Inauguration du Théâtre Français,66524430,1782,comedy,verse,4237
sacy-serpette-magique,La Serpette Magique,83390649,1778,,prose,3375
voltaire-semiramis,Sémiramis,121280652,1749,tragedy,verse,22449
tanevot-adam-et-eve,Adam et Eve,,1752,tragedy,verse,16483
saurin-spartacus,Spartacus,108744846,1760,tragedy,verse,12629
racine-britannicus,Britannicus,123212338,1670,tragedy,verse,18165
moliere-malade-imaginaire,Le Malade Imaginaire,123197131,1682,comedy,mixte,23735
donneau-de-vise-amours-du-soleil,Les Amours du Soleil,108664651,1671,tragedy,verse,25700
le-noble-cibisme,Le Cibisme,122769767,1689,dialogue,prose,8664
